,Title,Vote_Average
511,Snow White and the Seven Dwarfs,7.1
512,Pokémon the Movie: I Choose You!,7.0
513,Captain Marvel,6.9
514,The Twilight Saga: Breaking Dawn - Part 2,6.5
515,Maleficent: Mistress of Evil,7.3
516,Grown Ups 2,6.1
517,The Town,7.2
518,Zootopia,7.7
519,Extinct,6.5
520,Zack and Miri Make a Porno,6.3
521,Fatherhood,7.6
522,Trigger Point,6.4
523,The Hobbit: The Desolation of Smaug,7.6
524,Ice Age: Continental Drift,6.3
525,Aquaslash,4.1
526,Man of Steel,6.6
527,Outside the Wire,6.4
528,The Texas Chainsaw Massacre: The Beginning,6.1
529,Munich: The Edge of War,6.9
530,Shrek the Third,6.3
531,Terminator Salvation,6.0
532,Call Me by Your Name,8.2
533,We Can Be Heroes,6.3
534,Southpaw,7.4
535,Penguins of Madagascar,6.5
536,Red Shoes and the Seven Dwarfs,7.8
537,San Andreas,6.2
538,John Carter,6.2
539,Spirit: Stallion of the Cimarron,7.7
540,American Pie Presents: The Book of Love,5.3
541,Dragon Ball Z: The Tree of Might,6.5
542,The Kissing Booth 3,7.2
543,The Courier,7.1
544,Given,8.5
545,The Twilight Saga: Breaking Dawn - Part 1,6.2
546,Into the Wind,4.9
547,Maleficent,7.1
548,Just Go with It,6.6
549,White Chicks,6.9
550,13 Hours: The Secret Soldiers of Benghazi,7.2
551,Sex Tape,5.4
552,Maze Runner: The Scorch Trials,6.7
553,Corpse Bride,7.5
554,Psycho-Pass 3: First Inspector,7.6
555,Palmer,8.1
556,Below Zero,6.4
557,Me Before You,7.9
558,Beckett,6.4
559,"Batman: The Long Halloween, Part Two",7.7
560,Ghost Rider: Spirit of Vengeance,5.0
561,Shazam!,7.1
562,I Want You,7.3
563,Clash of the Titans,5.9
564,Wrong Turn 3: Left for Dead,5.6
565,X-Men: Apocalypse,6.5
566,Tenet,7.2
567,Cirque du Freak: The Vampire's Assistant,5.7
568,Grudge,6.4
569,Next-Door Nightmare,6.2
570,Trollhunters: Rise of the Titans,7.9
571,Ice Age: The Meltdown,6.7
572,The Matrix,8.2
573,The Meg,6.2
574,Dragon Ball Z: Bojack Unbound,7.0
575,Ralph Breaks the Internet,7.2
576,Cars,6.9
577,Hidden Figures,8.0
578,Ted,6.4
579,The 8th Night,6.2
580,Prince of Persia: The Sands of Time,6.2
581,Creed,7.4
582,Captain America: The First Avenger,7.0
583,Brave,7.0
584,Madagascar,6.9
585,Chaos Walking,6.8
586,Dragon Ball Z: Super Android 13!,6.7
587,Life in a Year,8.3
588,Wreck-It Ralph,7.3
589,Yu-Gi-Oh!: The Dark Side of Dimensions,7.5
590,Come Play With Me,7.1
591,Naruto Shippuden the Movie: The Lost Tower,7.0
592,Dawn of the Planet of the Apes,7.3
593,Need for Speed,6.3
594,Batman Tech,7.2
595,Public Enemies,6.7
596,In Time,6.9
597,Rock Dog 2: Rock Around the Park,7.1
598,Hotel Transylvania 3: Summer Vacation,6.9
599,Dragon Ball Z: The Return of Cooler,6.6
600,Koati,7.6
601,No Manches Frida,7.8
602,The Nun,5.8
603,The Shack,7.4
604,A Forbidden Orange,4.1
605,"Batman: The Long Halloween, Part One",7.8
606,From Straight A's to XXX,5.6
607,Fall in Love at First Kiss,6.7
608,Taken 2,6.3
609,The Godfather,8.7
610,Dragon Ball Z: The World's Strongest,6.4
611,Maze Runner: The Death Cure,7.1
612,The Lion King II: Simba's Pride,7.0
613,Tarzan,7.4
614,Dragon Ball Z: Wrath of the Dragon,7.2
615,Aladdin,7.1
616,Whispering Corridors 6: The Humming,7.6
617,Fantastic Beasts: The Crimes of Grindelwald,6.9
618,Prometheus,6.5
619,Overcomer,7.7
620,Hellboy,5.5
621,How to Train Your Dragon: The Hidden World,7.8
622,Hotel Transylvania,7.0
623,The Island of Giant Insects,4.5
624,Inglourious Basterds,8.2
625,Star Wars,8.2
626,The Passion of the Christ,7.4
627,Nightbooks,6.5
628,Sexo,5.2
629,Christmas ...Again?!,6.9
630,Monsters University,7.0
631,Transformers: The Last Knight,6.0
632,Rio,6.7
633,The Guest,6.6
634,G.I. Joe: The Rise of Cobra,5.8
635,Mad Max: Fury Road,7.5
636,The King of Fighters,5.0
637,Framed by My Husband,5.5
638,Pinocchio,7.1
639,Godzilla: King of the Monsters,6.7
640,A Bug's Life,7.0
641,Kung Fu Panda,7.2
642,The SpongeBob SquarePants Movie,6.9
643,The Hangover Part II,6.4
644,Cinderella,6.8
645,Garfield,5.6
646,He's All That,6.8
647,Tentacles,6.3
648,Uncharted: Live Action Fan Film,5.0
649,X-Men: Days of Future Past,7.5
650,Dragon Ball Super: Broly,7.8
651,Howl's Moving Castle,8.4
652,Ice Age: Collision Course,6.0
653,Batman Forever,5.4
654,LEGO Star Wars Terrifying Tales,6.9
655,Shrek Forever After,6.3
656,The Intouchables,8.3
657,The Shawshank Redemption,8.7
658,Alita: Battle Angel,7.2
659,Shaun the Sheep: The Flight Before Christmas,7.1
660,The Princess and the Frog,7.1
661,American Sniper,7.4
662,The Gentlemen,7.7
663,Looking Back at it All: The Dragon Ball Z Year-End Show!,7.0
664,Host,6.6
665,Space Sweepers,7.2
666,The Emperor's New Groove,7.5
667,Demon Slayer: Kimetsu no Yaiba Sibling's Bond,9.1
668,Still Out of My League,6.8
669,The French Dispatch,7.2
670,Wrong Turn 2: Dead End,6.0
671,Ant-Man and the Wasp,7.0
672,The Equalizer,7.2
673,Bartkowiak,6.3
674,Orphan,6.9
675,Dinosaur,6.5
676,Knock Knock,5.3
677,The Croods,6.9
678,Brother Bear,7.2
679,The Power of the Dog,6.8
680,We Bare Bears: The Movie,7.9
681,Baywatch,6.1
682,Creed II,6.9
683,Bad Trip,6.1
684,Texas Chainsaw 3D,5.5
685,Ant-Man,7.1
686,Greenland,7.2
687,Chappie,6.8
688,All the Bright Places,7.7
689,Hercules,7.5
690,Scary Movie 2,5.8
691,Pacific Rim: Uprising,6.1
692,Spencer,7.2
693,Scary Movie 5,4.8
694,La Llorona,6.5
695,Power Rangers,6.3
696,Night Teeth,6.6
697,Salt,6.4
698,Terminator: Dark Fate,6.5
699,Willy's Wonderland,6.3
700,How to Train Your Dragon 2,7.7
701,CODA,8.1
702,Despicable Me 2,6.9
703,Anonymously Yours,8.0
704,How to Train Your Dragon,7.8
705,Dragon Ball Z: Fusion Reborn,7.5
706,100% Wolf,5.9
707,Sex with Love,6.5
708,Ride Your Wave,7.5
709,Skyfall,7.2
710,Angels & Demons,6.7
711,Let's Be Cops,6.4
712,Conan the Barbarian,5.3
713,El mesero,8.2
714,Saint Seiya Heaven Chapter: Overture,7.7
715,Candyman,6.2
716,Stand by Me Doraemon,7.3
717,Aquaman,6.9
718,Warrior,7.8
719,Despicable Me,7.2
720,The Twilight Saga: New Moon,6.0
721,Machine Gun Preacher,6.7
722,In for a Murder,5.6
723,Altered Carbon: Resleeved,6.5
724,Porno,4.3
725,Lilo & Stitch,7.5
726,Exodus: Gods and Kings,5.8
727,The Experiment,6.4
728,Universal Soldier: Regeneration,5.6
729,There's Someone Inside Your House,5.6
730,Dragon Ball Z Special 9 - Future Trunks Special,7.6
731,The Green Mile,8.5
732,Dreamcatcher,6.2
733,The Remaining,5.6
