invoice_number,invoice_time,store_id,product_id,category_id,num_item,price
10161,7/23/15 12:11,G816,7070891,70401,1,6
10171,7/23/15 12:11,G816,7070891,70401,3,6
10181,7/23/15 12:11,G816,7071096,70201,3,5
10192,7/23/15 12:11,G816,7071096,70201,1,5
10204,7/23/15 12:42,G816,7070969,70401,1,6
10212,7/23/15 12:42,G816,7071096,70201,1,5
10226,7/23/15 12:46,G816,7070884,70203,1,2
10240,7/23/15 12:46,G816,7070969,70401,1,6
10253,7/23/15 12:49,G816,7071218,70101,1,3
10266,7/23/15 14:37,G816,7070884,70203,1,2
10278,7/23/15 14:37,G816,7070891,70401,1,6
10287,7/23/15 14:37,G816,7071096,70201,1,5
10301,7/23/15 14:38,G816,15000231,70301,1,2
10310,7/23/15 14:46,G619,7090097,70301,1,3
10321,7/23/15 14:54,G628,7000300,210101,1,2
10331,7/23/15 14:54,G628,21000362,210301,3,3.666666667
10342,7/23/15 15:02,G619,7070891,70401,1,6
10356,7/23/15 15:02,G619,7070884,70203,1,2
10366,7/23/15 16:33,G619,7070884,70203,1,2
10377,7/23/15 16:45,G619,7070884,70203,2,2
10390,7/23/15 16:54,G619,7070884,70203,2,2
10406,7/23/15 17:02,G619,15000231,70301,1,2
10419,7/23/15 17:04,G619,7308765,210301,1,2.5
10104,7/23/15 17:07,G816,7070884,70203,1,2
10115,7/23/15 17:07,G816,7070884,70203,1,2
10127,7/23/15 17:53,G628,7000126,210301,1,2
10141,7/23/15 18:05,G816,7090370,70401,1,6
10151,7/23/15 18:18,G619,7070884,70203,1,2
10165,7/23/15 18:18,G619,7070891,70401,1,6
10176,7/23/15 18:18,G619,15000231,70301,2,1.25
10184,7/23/15 18:19,G619,15000231,70301,2,1.25
10195,7/23/15 18:19,G619,15000231,70301,2,1.25
10207,7/23/15 18:29,G619,7070891,70401,2,6
10219,7/23/15 18:29,G619,7071096,70201,2,5
10230,7/23/15 18:29,G619,7070969,70401,1,6
10246,7/23/15 18:37,G619,7000294,210101,1,1.5
10259,7/23/15 18:37,G619,7070891,70401,1,6
10271,7/23/15 18:44,G619,7000300,210101,1,2
10282,7/23/15 18:44,G619,7000300,210101,1,2
10292,7/23/15 18:44,G619,7070891,70401,1,6
10305,7/23/15 19:29,G816,15000231,70301,1,2
10314,7/23/15 19:30,G300,7000126,210301,1,2
10324,7/23/15 19:30,G300,7000126,210301,1,2
10336,7/23/15 19:30,G300,7000294,210101,1,1.5
10349,7/23/15 19:30,G300,7000294,210101,1,1.5
10358,7/23/15 19:30,G300,7000300,210101,1,2
10371,7/23/15 19:50,G300,7308765,210301,1,2.5
10382,7/23/15 20:06,G619,21000430,210101,3,3.5
10412,7/23/15 20:19,G300,7000300,210101,2,2
10425,7/23/15 21:07,G628,21000362,210301,4,3
10100,7/23/15 21:20,G619,7308765,210301,1,2.5
10110,7/23/15 21:53,G300,7000126,210301,2,2
10124,7/23/15 22:08,G816,7070884,70203,1,2
10149,7/23/15 22:08,G816,7071164,70201,1,5
10162,7/23/15 22:24,G816,7071133,70301,1,2
10173,7/23/15 22:28,G816,7000133,210301,3,3
10182,7/23/15 22:29,G619,7070884,70203,1,2
10193,7/23/15 22:29,G619,7070884,70203,4,2
10204,7/23/15 22:39,G619,7000294,210101,1,1.5
10214,7/23/15 23:05,G619,7000133,210301,1,3
10227,7/23/15 23:12,G619,7070969,70401,1,6
10241,7/23/15 23:30,G619,7070891,70401,1,6
10280,7/24/15 0:20,G628,7308765,210301,1,2.5
10288,7/24/15 1:47,G628,7000300,210101,2,2
10303,7/24/15 2:47,G300,7000126,210301,2,2
10312,7/24/15 2:50,G628,7000300,210101,24,2
10332,7/24/15 7:58,G816,7071218,70101,2,3
10344,7/24/15 7:58,G816,7314612,70101,1,1.5
10367,7/24/15 8:36,G816,7071218,70101,1,3
10379,7/24/15 8:36,G816,7090509,70101,1,1.5
10407,7/24/15 8:40,G816,7090509,70101,2,1.5
10420,7/24/15 8:46,G816,7070891,70401,1,6
10104,7/24/15 8:48,G816,7090509,70101,1,1.5
10114,7/24/15 8:49,G816,7313684,70101,1,2.5
10127,7/24/15 8:49,G816,7313684,70101,1,2.5
10141,7/24/15 8:50,G816,7313684,70101,2,2.5
10151,7/24/15 8:50,G816,7070891,70401,3,6
10165,7/24/15 8:55,G619,30000742,70101,1,1.5
10175,7/24/15 8:55,G619,30000766,70101,1,1.5
10184,7/24/15 8:55,G619,7071218,70101,1,3
10195,7/24/15 8:55,G619,30000766,70101,1,1.5
10207,7/24/15 9:07,G816,7000300,210101,2,2
10229,7/24/15 9:09,G816,7313684,70101,1,2.5
10246,7/24/15 9:38,G816,7000300,210101,1,2
10259,7/24/15 10:01,G816,7070969,70401,2,6
10271,7/24/15 10:03,G816,7071218,70101,2,3
10281,7/24/15 10:03,G816,15000231,70301,1,2
10292,7/24/15 10:04,G619,7000300,210101,1,2
10305,7/24/15 10:06,G619,7070891,70401,1,6
10313,7/24/15 10:06,G619,30000711,70101,1,1.5
10324,7/24/15 10:06,G619,30000766,70101,1,1.5
10334,7/24/15 10:12,G619,30000711,70101,1,1.5
10349,7/24/15 10:12,G619,30000711,70101,1,1.5
10358,7/24/15 11:08,G619,7071096,70201,1,4.71
10370,7/24/15 11:08,G619,7071218,70101,1,3
10383,7/24/15 11:08,G619,15000231,70301,2,1.25
10412,7/24/15 11:08,G619,30000711,70101,1,1.5
10425,7/24/15 11:08,G619,30000759,70101,1,1.5
10101,7/24/15 11:09,G619,7071096,70201,1,4.71
10110,7/24/15 11:09,G619,7071218,70101,1,3
10124,7/24/15 11:09,G619,15000231,70301,2,1.25
10149,7/24/15 11:09,G619,30000711,70101,1,1.5
10162,7/24/15 11:09,G619,30000759,70101,1,1.5
10173,7/24/15 11:10,G619,7071096,70201,1,4.71
10182,7/24/15 11:10,G619,7071218,70101,1,3
10193,7/24/15 11:10,G619,15000231,70301,2,1.25
10204,7/24/15 11:10,G619,30000711,70101,1,1.5
10214,7/24/15 11:10,G619,30000759,70101,1,1.5
10227,7/24/15 11:16,G816,7000300,210101,1,2
10243,7/24/15 11:21,G619,7000300,210101,1,2
10280,7/24/15 11:42,G619,30000742,70101,2,1.5
10288,7/24/15 11:42,G619,30000759,70101,1,1.5
10304,7/24/15 12:01,G816,7070884,70203,2,2
10312,7/24/15 12:01,G816,7071096,70201,1,5
10322,7/24/15 12:01,G816,7090363,70401,1,6
10332,7/24/15 12:01,G816,15000231,70301,1,2
10344,7/24/15 13:12,G816,7000300,210101,1,2
